AGENT_ID,TOTAL_POLICIES,FRAUD_CASES_HANDLED,AVG_CLAIM_AMOUNT,APPROVAL_RATE,CUSTOMER_COMPLAINTS,YEARS_EXPERIENCE,PERFORMANCE_SCORE,STATE
AGT0021,240,22,17051,0.464,0,20,93.28,OH
AGT0054,156,7,19516,0.589,6,10,89.45,CA
AGT0053,78,23,13407,0.68,10,10,63.37,NY
AGT0038,12,6,1086,0.722,14,3,51.78,MI
AGT0170,235,24,13896,0.719,3,11,70.69,FL
AGT0075,13,15,18987,0.444,13,10,79.68,MI
AGT0031,481,2,16320,0.419,0,2,92.74,MI
AGT0198,440,3,14748,0.53,0,14,76.41,MI
AGT0007,376,2,10995,0.421,5,7,63.29,OH
AGT0030,377,12,18139,0.521,4,9,84.54,NY
AGT0171,317,8,13046,0.433,8,2,70.08,FL
AGT0091,368,1,10713,0.69,2,16,91.26,OH
AGT0075,423,20,18095,0.458,8,4,51.19,NC
AGT0062,261,25,1063,0.628,14,15,70.95,MI
AGT0118,416,25,3376,0.823,2,11,71.11,CA
AGT0072,126,4,16987,0.825,6,18,79.38,WA
AGT0017,445,26,2057,0.709,9,10,67.93,FL
AGT0193,356,12,18060,0.417,6,16,70.11,FL
AGT0182,63,6,19671,0.695,6,23,86.74,NY
AGT0036,99,4,5954,0.539,0,7,58.56,NY
AGT0101,73,23,17748,0.713,7,3,61.92,TX
AGT0091,128,7,11388,0.9,13,15,55.12,NY
AGT0018,401,19,10765,0.729,13,4,62.88,MI
AGT0080,415,16,18532,0.917,11,6,75.27,CA
AGT0127,497,27,15834,0.515,1,19,59.46,GA
AGT0021,73,21,17893,0.548,1,17,53.68,MI
AGT0074,285,23,17756,0.482,7,1,99.82,GA
AGT0051,412,14,14803,0.443,4,15,72.76,IL
AGT0071,482,15,9870,0.406,2,16,91.58,OH
AGT0126,58,4,4517,0.91,2,8,86.94,OH
AGT0082,334,23,2861,0.648,2,18,58.27,NY
AGT0154,49,22,5800,0.916,1,18,75.61,MI
AGT0102,51,9,10132,0.875,9,16,78.39,GA
AGT0139,419,4,3607,0.809,6,7,57.89,CA
AGT0124,463,23,7676,0.905,10,7,55.59,NC
AGT0164,100,23,16096,0.545,3,14,63.16,FL
AGT0030,421,23,1439,0.871,9,3,63.06,OH
AGT0199,456,0,6856,0.774,2,10,63.88,TX
AGT0151,272,25,19221,0.73,13,24,62.62,IL
AGT0040,93,10,7159,0.74,2,16,77.34,TX
AGT0006,374,7,14599,0.898,11,21,64.72,FL
AGT0006,278,15,12576,0.911,10,8,88.58,MI
AGT0140,182,25,15930,0.497,2,18,52.62,CA
AGT0085,433,24,14856,0.444,1,18,81.08,NY
AGT0037,311,5,12338,0.55,9,5,88.62,CA
AGT0064,139,29,19454,0.846,0,6,71.86,TX
AGT0090,212,23,6114,0.453,9,11,65.97,NC
AGT0009,161,27,6318,0.764,10,16,65.15,OH
AGT0113,268,27,12109,0.62,9,18,66.39,NY
AGT0008,142,15,14582,0.902,14,24,55.87,CA
AGT0130,321,1,13925,0.851,6,3,79.05,NC
AGT0013,229,2,19173,0.679,7,16,81.17,FL
AGT0159,36,18,12349,0.609,14,23,69.48,OH
AGT0051,12,2,15472,0.859,12,5,97.79,TX
AGT0104,57,19,3415,0.534,6,23,95.57,IL
AGT0078,88,3,1727,0.699,6,21,64.89,MI
AGT0177,50,24,16457,0.912,11,4,86.62,GA
AGT0159,334,8,9496,0.732,8,6,55.82,IL
AGT0192,301,3,6653,0.912,7,5,87.89,TX
AGT0144,20,10,15260,0.643,12,3,86.79,FL
AGT0196,212,27,8537,0.746,11,9,67.83,WA
AGT0046,153,16,1566,0.917,6,11,69.35,WA
AGT0064,255,29,11463,0.806,5,11,79.3,NY
AGT0162,296,7,3384,0.898,10,20,64.01,GA
AGT0007,255,20,19575,0.858,0,11,78.64,NC
AGT0036,205,5,7237,0.443,11,5,94.38,IL
AGT0144,29,12,6937,0.542,7,17,72.24,FL
AGT0080,398,11,17026,0.808,13,16,60.21,NY
AGT0051,400,19,1795,0.89,8,12,77.9,IL
AGT0061,431,20,13870,0.841,5,16,82.64,NY
AGT0154,353,1,19476,0.572,1,5,76.3,IL
AGT0097,170,20,1569,0.742,0,19,51.18,TX
AGT0002,347,22,19192,0.764,9,7,83.46,NY
AGT0104,451,11,12723,0.641,2,2,51.84,TX
AGT0156,26,2,4767,0.723,12,10,70.87,NY
AGT0034,258,12,17206,0.942,7,6,70.72,FL
AGT0015,329,9,16751,0.7,13,13,92.32,IL
AGT0126,492,23,19659,0.507,6,12,93.13,WA
AGT0176,255,4,18472,0.677,5,23,88.75,MI
AGT0015,440,8,12607,0.497,2,10,90.99,GA
AGT0131,382,21,1246,0.779,6,3,60.94,OH
AGT0156,397,28,15196,0.896,12,13,85.81,NY
AGT0033,57,17,15340,0.772,12,20,87.46,CA
AGT0053,257,0,15686,0.883,7,7,88.9,GA
AGT0102,375,20,4417,0.8,14,8,89.74,FL
AGT0123,71,0,14948,0.641,0,5,58.16,CA
AGT0102,481,1,16716,0.696,0,18,62.85,WA
AGT0037,345,20,2422,0.693,0,5,89.18,FL
AGT0176,426,11,1397,0.616,0,7,57.37,CA
AGT0085,320,0,2585,0.451,0,3,56.2,OH
AGT0107,448,12,14133,0.786,0,10,98.85,GA
AGT0108,451,11,6720,0.426,11,21,98.39,FL
AGT0111,47,18,16518,0.512,6,11,66.84,FL
AGT0058,469,28,19191,0.65,11,3,50.43,TX
AGT0064,269,3,1677,0.943,11,19,69.91,IL
AGT0028,249,19,15030,0.569,10,9,51.29,IL
AGT0146,130,19,15384,0.837,1,4,57.17,NY
AGT0063,208,29,2427,0.631,1,1,61.21,WA
AGT0011,277,11,3256,0.522,10,9,91.96,WA
AGT0010,271,4,16306,0.415,14,4,68.77,MI
AGT0194,356,27,2502,0.449,2,13,50.41,OH
AGT0086,342,1,4782,0.629,9,11,81.84,WA
AGT0122,375,13,18492,0.62,0,16,53.53,FL
AGT0107,293,19,14816,0.744,2,7,94.71,NC
AGT0170,495,3,18537,0.434,8,2,62.27,GA
AGT0178,440,8,6207,0.556,9,3,61.89,GA
AGT0157,479,3,15081,0.413,8,3,69.85,CA
AGT0197,364,25,12578,0.88,6,7,55.37,TX
AGT0044,131,7,17913,0.619,4,18,51.16,WA
AGT0090,482,18,5288,0.721,11,14,95.72,FL
AGT0058,458,7,1317,0.791,4,9,93.18,NY
AGT0167,155,20,8589,0.547,10,6,95.82,GA
AGT0056,443,23,10721,0.474,5,4,83.83,MI
AGT0159,265,1,11907,0.719,7,4,50.65,NY
AGT0046,364,21,17561,0.897,13,7,98.66,MI
AGT0139,177,19,14038,0.891,5,12,85.44,GA
AGT0004,136,2,17962,0.57,12,15,70.76,TX
AGT0158,207,7,14866,0.546,0,23,86.62,OH
AGT0166,102,25,7973,0.594,7,23,78.35,WA
AGT0113,79,13,16514,0.535,7,7,83.58,WA
AGT0108,223,2,7167,0.93,14,18,91.21,WA
AGT0092,474,19,16440,0.419,3,4,96.81,CA
AGT0119,29,23,14299,0.505,8,20,89.83,MI
AGT0114,170,12,5206,0.416,8,23,94.79,IL
AGT0099,149,3,2143,0.87,1,15,78.38,IL
AGT0105,111,3,17838,0.659,14,13,66.92,IL
AGT0025,45,11,15829,0.525,7,9,83.48,GA
AGT0094,96,14,1960,0.617,6,22,77.81,OH
AGT0088,267,22,5743,0.458,13,24,52.81,CA
AGT0180,219,20,10165,0.459,1,17,78.79,NY
AGT0059,312,7,10909,0.921,9,2,70.87,WA
AGT0194,429,20,8171,0.783,0,22,68.48,TX
AGT0179,64,3,4658,0.751,14,20,86.22,FL
AGT0157,171,5,13679,0.66,12,9,94.26,TX
AGT0141,438,23,14952,0.669,7,7,59.86,NC
AGT0064,125,27,13162,0.825,5,19,89.74,MI
AGT0033,57,20,19172,0.429,13,15,58.48,MI
AGT0158,127,13,8476,0.767,3,19,78.82,CA
AGT0141,204,26,11275,0.703,11,24,92.41,WA
AGT0167,135,10,7030,0.569,6,9,95.29,MI
AGT0110,255,19,19063,0.519,12,21,65.42,MI
AGT0180,110,20,8954,0.874,11,12,90.94,MI
AGT0017,295,2,8639,0.912,14,21,93.94,MI
AGT0022,434,28,15123,0.453,9,6,58.64,CA
AGT0014,166,19,6441,0.493,4,20,69.24,NC
AGT0065,275,7,7919,0.767,13,17,88.81,WA
AGT0030,359,24,16933,0.826,9,11,50.74,OH
AGT0009,42,11,1408,0.67,10,23,81.29,WA
AGT0163,177,2,1720,0.91,3,10,70.73,CA
AGT0032,320,20,17460,0.88,7,18,75.88,OH
AGT0166,133,4,6342,0.469,12,13,70.92,WA
AGT0129,211,17,15832,0.478,5,4,59.77,OH
AGT0122,232,20,14119,0.447,8,7,67.42,IL
AGT0024,468,4,4798,0.881,3,20,93.05,FL
AGT0004,65,23,4589,0.707,2,12,80.55,NC
AGT0028,320,13,19689,0.918,11,21,73.86,WA
AGT0064,483,10,17918,0.801,6,4,85.3,NY
AGT0192,453,3,5886,0.803,3,19,59.19,IL
AGT0081,279,22,10161,0.469,2,22,54.17,IL
AGT0047,200,4,17382,0.46,1,24,77.43,GA
AGT0057,80,5,5672,0.912,6,18,50.58,IL
AGT0067,138,7,13567,0.665,4,12,57.41,NC
AGT0117,400,13,8053,0.947,1,2,85.85,WA
AGT0162,23,26,17760,0.578,7,5,95.08,NY
AGT0013,362,22,6391,0.742,14,16,64.26,FL
AGT0155,465,22,9230,0.715,14,22,69.13,OH
AGT0004,220,5,14317,0.437,8,19,84.05,OH
AGT0065,406,19,13760,0.685,8,15,90.24,IL
AGT0118,492,10,3088,0.908,14,21,63.01,TX
AGT0021,383,14,2658,0.65,11,8,91.31,TX
AGT0053,255,18,17219,0.66,2,8,98.63,IL
AGT0128,286,4,15471,0.785,7,3,54.4,NC
AGT0138,114,10,3827,0.829,5,16,61.22,OH
AGT0017,74,11,13318,0.855,2,5,86.31,NC
AGT0156,397,26,6366,0.649,13,7,51.84,TX
AGT0082,264,29,8722,0.644,8,3,64.2,WA
AGT0123,465,28,12907,0.66,10,21,92.23,GA
AGT0043,374,15,13128,0.933,11,5,84.08,GA
AGT0198,138,19,7729,0.911,1,22,82.04,MI
AGT0153,481,21,16785,0.743,4,6,80.6,WA
AGT0129,13,23,10691,0.556,13,2,75.1,MI
AGT0038,56,20,16452,0.895,3,24,88.34,IL
AGT0155,308,27,11812,0.494,2,7,93.26,NC
AGT0076,306,11,7775,0.459,9,18,89.78,IL
AGT0129,369,21,5921,0.628,3,3,74.13,TX
AGT0131,327,18,1248,0.777,12,5,88.93,WA
AGT0162,137,23,11157,0.429,10,10,87.77,GA
AGT0168,82,27,11570,0.572,11,19,72.79,NC
AGT0079,482,2,18847,0.831,10,1,66.71,GA
AGT0017,175,25,5939,0.763,2,16,70.51,NY
AGT0087,92,24,1047,0.446,9,19,74.66,NC
AGT0081,43,26,17997,0.511,2,3,57.35,NY
AGT0068,402,8,12328,0.799,0,11,60.92,NC
AGT0098,423,17,1939,0.464,14,23,55.09,MI
AGT0116,439,2,7083,0.405,3,13,53.61,GA
AGT0125,427,1,19434,0.946,10,19,78.31,IL
AGT0075,93,17,17379,0.738,5,18,84.9,NC
AGT0124,17,29,11514,0.636,10,10,80.68,CA
AGT0198,255,6,2835,0.728,6,18,86.35,MI
AGT0131,258,23,13356,0.769,6,23,70.33,OH
AGT0121,23,2,2151,0.673,1,8,89.96,OH
AGT0058,439,1,8439,0.762,6,2,87.38,FL
AGT0068,324,18,8693,0.79,10,19,85.55,TX
AGT0011,344,8,15756,0.499,10,8,88.3,NY
AGT0102,277,2,13801,0.633,13,16,61.57,MI
AGT0015,496,27,10097,0.568,8,4,78.47,CA
AGT0157,391,26,1122,0.839,14,6,88.75,GA
AGT0192,293,0,1347,0.823,9,19,54.94,WA
AGT0162,255,29,16413,0.846,11,1,62.35,GA
AGT0032,419,0,13376,0.641,2,12,74.54,FL
AGT0128,183,22,7393,0.716,3,19,70.71,FL
AGT0087,431,23,15260,0.788,8,12,95.71,NY
AGT0001,76,8,18484,0.577,7,4,87.53,TX
AGT0144,27,4,1249,0.938,7,16,52.04,OH
AGT0174,35,16,18209,0.608,13,3,73.27,NC
AGT0093,189,26,5710,0.695,7,14,88.13,OH
AGT0182,269,0,15512,0.855,0,11,83.45,CA
AGT0012,449,25,12212,0.811,7,14,76.88,MI
AGT0175,460,18,15003,0.676,3,23,54.26,IL
AGT0137,25,29,3235,0.625,0,22,95.76,OH
AGT0135,385,7,12415,0.75,3,18,70.75,OH
AGT0101,108,19,19366,0.64,0,12,57.26,GA
AGT0006,202,13,16095,0.726,9,20,54.22,CA
AGT0091,430,19,16169,0.84,6,3,89.24,FL
AGT0191,492,5,4383,0.467,14,7,80.64,OH
AGT0093,398,14,6237,0.784,0,12,62.59,NY
AGT0014,100,29,16525,0.43,7,21,76.65,TX
AGT0099,28,25,8659,0.804,13,10,97.32,WA
AGT0030,498,6,11738,0.515,8,10,74.66,FL
AGT0085,125,1,4179,0.671,5,23,69.53,FL
AGT0126,122,12,15857,0.547,9,24,65.39,WA
AGT0014,265,6,9469,0.577,4,1,59.11,FL
AGT0093,92,7,10382,0.746,12,14,95.52,OH
AGT0102,336,5,19088,0.637,9,17,58.58,OH
AGT0151,430,16,12988,0.668,4,15,52.73,WA
AGT0014,179,2,9371,0.949,1,24,57.14,WA
AGT0127,239,27,7490,0.467,9,22,59.12,IL
AGT0125,450,0,12422,0.611,13,7,71.24,CA
AGT0001,447,4,9063,0.692,13,23,95.48,MI
AGT0024,55,16,5289,0.848,9,11,56.74,GA
AGT0129,376,4,7930,0.555,14,1,57.31,CA
AGT0173,19,15,6449,0.617,12,9,71.87,TX
AGT0172,86,2,15071,0.852,5,6,95.19,FL
AGT0154,317,26,10549,0.692,12,23,96.36,MI
AGT0171,69,17,4810,0.871,1,15,97.54,FL
AGT0122,100,9,3848,0.435,13,8,56.34,MI
AGT0032,228,18,18679,0.558,13,1,85.28,CA
AGT0107,213,16,17889,0.707,8,9,82.37,OH
AGT0070,285,24,16756,0.467,13,8,51.52,WA
AGT0052,461,21,14964,0.665,1,11,83.61,GA
AGT0024,217,25,17372,0.41,1,5,84.85,OH
AGT0004,160,25,13294,0.678,5,13,82.83,NY
AGT0151,113,3,18365,0.906,1,13,60.78,OH
AGT0035,439,23,18453,0.922,3,18,66.62,FL
AGT0126,116,27,9284,0.576,2,15,77.69,OH
AGT0061,11,5,5724,0.402,6,18,56.92,CA
AGT0097,259,24,17946,0.902,9,5,57.94,FL
AGT0080,368,18,16705,0.712,2,4,84.94,NC
AGT0060,17,19,9437,0.719,4,13,58.29,WA
AGT0097,321,21,18264,0.848,11,24,50.83,IL
AGT0158,225,10,2930,0.616,3,10,59.26,GA
AGT0101,390,26,16608,0.631,5,18,53.78,IL
AGT0159,26,22,1942,0.868,11,24,64.11,TX
AGT0183,449,13,2947,0.67,5,3,88.02,WA
AGT0099,437,18,2208,0.805,3,2,89.3,IL
AGT0161,346,28,2517,0.898,12,16,53.57,TX
AGT0025,313,10,4572,0.616,14,21,78.51,CA
AGT0114,355,26,7877,0.889,13,17,54.4,FL
AGT0094,88,0,7836,0.58,6,24,59.35,GA
AGT0002,449,23,8996,0.911,0,1,89.21,NY
AGT0180,386,17,19605,0.568,6,13,98.6,OH
AGT0149,380,21,10710,0.529,11,17,63.58,TX
AGT0117,251,17,5582,0.796,14,17,88.84,WA
AGT0140,79,14,3613,0.907,1,1,67.1,WA
AGT0151,260,4,18346,0.822,1,4,89.23,WA
AGT0156,277,7,6240,0.807,4,24,78.51,GA
AGT0059,135,27,16398,0.935,1,9,77.32,CA
AGT0084,462,12,16005,0.707,2,5,90.44,TX
AGT0069,202,4,17361,0.888,6,5,84.81,CA
AGT0183,477,3,3781,0.42,3,5,98.54,IL
AGT0024,440,8,15910,0.473,8,14,68.13,MI
AGT0182,46,21,15861,0.549,14,13,97.75,NC
AGT0069,82,11,19488,0.92,7,23,91.38,OH
AGT0156,202,12,14458,0.508,7,12,74.68,NC
AGT0034,315,20,3276,0.611,14,1,75.04,IL
AGT0169,65,18,9703,0.42,9,13,95.1,GA
AGT0108,116,2,10100,0.443,14,12,79.37,OH
AGT0197,429,11,9999,0.72,13,8,66.89,GA
AGT0079,227,21,7513,0.454,0,18,52.07,IL
AGT0199,282,21,16229,0.895,14,23,64.98,NC
AGT0168,271,12,6400,0.887,2,11,60.87,GA
AGT0002,484,6,9451,0.742,4,18,56.45,FL
AGT0077,69,5,9489,0.618,8,13,83.63,WA
AGT0082,265,2,13222,0.888,11,18,69.78,IL
AGT0043,48,3,10137,0.668,14,11,54.73,GA
AGT0176,32,29,19447,0.505,6,7,66.35,OH
AGT0017,247,12,19732,0.59,4,15,57.02,NY
AGT0052,452,9,9824,0.6,5,10,79.93,CA
AGT0051,210,13,6028,0.719,5,2,71.35,FL
AGT0084,361,15,15460,0.621,4,18,96.71,WA
AGT0140,461,4,18321,0.85,3,14,80.44,WA
AGT0002,13,27,17852,0.745,10,15,88.26,TX
AGT0126,352,14,4172,0.539,14,13,66.75,OH
AGT0081,450,16,2010,0.621,8,22,87.72,FL
AGT0124,449,15,13635,0.798,2,5,86.74,OH
AGT0013,370,28,6709,0.533,10,2,99.54,GA
AGT0172,464,29,6802,0.45,8,13,83.06,CA
AGT0116,304,3,1567,0.791,6,21,95.81,WA
AGT0051,19,21,19247,0.624,0,12,93.35,WA
AGT0158,491,4,1025,0.468,11,11,95.94,WA
AGT0095,441,0,13057,0.664,9,15,78.66,IL
AGT0079,103,16,18579,0.708,3,9,61.2,NC
AGT0034,479,14,2220,0.414,5,14,79.25,WA
AGT0099,329,14,12706,0.835,7,24,96.08,TX
AGT0044,231,0,18547,0.67,8,10,98.65,TX
AGT0147,411,19,8804,0.414,9,12,97.31,MI
AGT0075,321,15,6582,0.874,1,19,72.05,NY
AGT0024,396,1,14382,0.722,8,17,90.22,TX
AGT0142,179,10,18620,0.93,1,9,74.43,FL
AGT0170,201,4,11618,0.555,2,13,84.59,GA
AGT0167,58,27,1256,0.627,1,12,71.58,NY
AGT0097,445,22,14007,0.765,9,10,65.13,NY
AGT0062,138,14,5155,0.903,12,11,72.1,WA
AGT0045,77,2,19791,0.835,14,1,65.35,WA
AGT0080,49,25,6289,0.754,10,12,71.16,IL
AGT0021,199,10,13093,0.838,11,8,83.88,FL
AGT0178,248,17,14071,0.452,1,20,60.04,MI
AGT0050,418,21,9462,0.798,0,16,83.84,NC
AGT0157,330,11,16161,0.718,4,18,53.68,NC
AGT0078,405,29,18029,0.551,5,7,50.08,FL
AGT0139,12,6,12971,0.531,6,2,61.65,FL
AGT0183,24,10,15333,0.559,9,10,60.12,CA
AGT0082,122,5,2178,0.468,1,12,91.66,OH
AGT0193,198,10,5592,0.55,1,11,87.8,CA
AGT0069,46,23,9239,0.439,12,3,83.32,MI
AGT0051,435,14,3475,0.77,8,5,85.31,NY
AGT0145,483,26,10385,0.682,5,18,83.15,GA
AGT0029,247,26,2390,0.47,12,22,91.32,TX
AGT0019,403,9,7815,0.783,10,24,76.69,FL
AGT0074,103,23,2167,0.498,12,13,50.88,FL
AGT0109,25,14,8971,0.672,9,15,93.17,MI
AGT0094,450,12,8710,0.906,7,15,73.52,WA
AGT0013,408,8,10169,0.819,13,10,96.42,OH
AGT0110,381,1,19814,0.721,14,8,94.65,TX
AGT0125,415,13,11526,0.722,11,2,69.97,WA
AGT0057,358,20,3805,0.435,9,1,96.65,FL
AGT0114,404,26,12988,0.635,0,8,52.93,GA
AGT0071,483,12,19603,0.569,13,9,83.12,FL
AGT0012,440,4,4992,0.661,2,13,84.07,IL
AGT0149,446,14,2526,0.923,0,24,92.01,CA
AGT0084,239,8,18132,0.833,6,22,73.57,IL
AGT0197,411,27,4274,0.735,1,5,62.03,GA
AGT0039,127,20,16729,0.788,1,13,52.21,MI
AGT0002,163,27,9132,0.802,6,14,73.36,WA
AGT0160,436,9,15945,0.651,5,24,72.66,WA
AGT0173,188,13,14539,0.876,1,10,67.82,WA
AGT0183,418,2,16311,0.74,14,9,81.82,IL
AGT0198,252,4,15455,0.806,3,19,76.57,FL
AGT0063,144,11,10983,0.406,3,1,55.78,TX
AGT0136,211,11,5639,0.696,12,3,52.41,TX
AGT0006,294,20,19108,0.6,10,16,94.53,CA
AGT0084,41,6,4582,0.43,5,8,87.11,NC
AGT0180,282,29,7953,0.755,3,6,73.16,NY
AGT0127,61,23,6343,0.911,13,20,74.8,OH
AGT0169,248,26,8979,0.803,0,6,55.72,NY
AGT0190,168,9,5738,0.444,9,1,63.18,OH
AGT0160,308,16,16509,0.431,1,1,91.24,IL
AGT0138,421,15,9307,0.59,0,22,56.32,OH
AGT0072,51,23,17511,0.531,1,13,55.21,TX
AGT0107,51,25,1589,0.415,8,1,77.91,WA
AGT0016,232,17,9530,0.422,4,6,92.02,IL
AGT0116,379,29,12110,0.59,10,8,68.96,GA
AGT0195,147,14,17112,0.473,14,24,82.29,WA
AGT0030,393,8,14886,0.507,0,13,95.11,CA
AGT0099,11,5,13031,0.878,9,21,94.56,FL
AGT0180,154,11,17054,0.947,13,11,73.39,OH
AGT0072,264,8,8372,0.843,1,18,64.78,GA
AGT0118,316,6,19170,0.528,6,1,78.67,IL
AGT0156,188,13,18204,0.497,1,9,96.21,CA
AGT0158,442,7,18260,0.718,1,12,84.04,GA
AGT0135,221,29,10560,0.831,14,2,97.76,GA
AGT0013,321,9,2771,0.762,3,7,78.96,CA
AGT0009,64,18,17133,0.842,2,17,51.06,WA
AGT0151,465,22,8910,0.668,13,17,72.4,MI
AGT0192,257,28,16435,0.943,4,1,95.16,FL
AGT0054,240,20,2049,0.833,4,7,51.69,GA
AGT0112,142,7,2836,0.428,12,11,80.9,MI
AGT0015,307,16,7628,0.6,11,7,68.9,IL
AGT0038,10,2,17551,0.708,8,2,70.18,CA
AGT0097,231,8,1583,0.523,12,1,78.38,IL
AGT0004,392,29,4086,0.622,3,14,70.58,NY
AGT0118,391,0,10412,0.746,11,9,96.01,MI
AGT0111,317,9,16463,0.704,9,14,65.18,CA
AGT0019,193,1,3951,0.874,8,17,87.96,WA
AGT0119,268,16,15355,0.544,5,13,54.6,NY
AGT0092,92,22,10295,0.907,1,14,66.64,NY
AGT0020,314,2,15006,0.577,8,18,57.89,NY
AGT0044,115,3,14639,0.906,12,5,60.99,CA
AGT0109,168,25,18496,0.537,1,6,78.22,GA
AGT0163,369,8,2104,0.679,2,18,67.1,NC
AGT0087,70,0,12410,0.913,13,6,52.44,FL
AGT0127,171,2,9665,0.553,12,21,93.17,TX
AGT0088,184,27,7433,0.867,8,10,83.77,MI
AGT0173,473,27,15072,0.676,6,2,97.76,GA
AGT0196,396,4,12270,0.631,0,17,90.02,FL
AGT0085,192,8,9441,0.765,13,11,77.97,GA
AGT0060,308,5,14226,0.509,8,3,73.02,FL
AGT0116,127,14,11914,0.762,1,6,97.33,GA
AGT0177,397,24,7927,0.497,5,22,71.2,IL
AGT0120,178,22,7379,0.791,12,12,77.24,TX
AGT0069,452,11,5831,0.736,13,7,66.69,GA
AGT0156,446,20,6640,0.477,9,14,64.03,TX
AGT0036,132,7,10304,0.455,2,4,92.28,MI
AGT0055,210,27,4434,0.734,2,10,62.35,TX
AGT0031,458,17,18067,0.467,5,15,57.2,MI
AGT0183,57,27,12050,0.744,11,23,86.4,FL
AGT0189,334,7,12978,0.949,11,7,92.06,OH
AGT0192,262,28,11909,0.468,11,20,96.39,MI
AGT0005,284,8,18047,0.661,3,10,83.35,WA
AGT0180,290,20,16562,0.908,4,22,67.42,IL
AGT0044,256,1,10027,0.915,4,2,75.53,FL
AGT0191,177,6,7540,0.416,10,4,59.31,NC
AGT0069,239,16,18992,0.844,11,12,60.61,WA
AGT0062,489,15,12398,0.531,0,19,94.81,FL
AGT0132,46,3,16039,0.811,10,8,92.44,NY
AGT0159,88,0,3648,0.595,5,3,63.95,MI
AGT0076,36,25,7737,0.524,5,5,69.02,FL
AGT0165,316,7,6033,0.659,7,7,97.94,OH
AGT0005,172,22,9516,0.497,7,10,69.6,NY
AGT0180,32,5,10563,0.633,14,14,66.37,OH
AGT0104,109,8,19957,0.617,8,19,60.03,OH
AGT0108,137,0,2996,0.93,12,4,70.38,OH
AGT0177,52,16,19120,0.698,13,19,68.18,IL
AGT0011,385,15,16427,0.783,14,24,86.74,NY
AGT0178,21,17,8794,0.496,9,9,67.35,CA
AGT0041,442,22,6341,0.949,14,5,72.92,NC
AGT0199,489,19,16837,0.674,8,24,66.07,NY
AGT0144,459,6,3592,0.441,5,22,65.97,CA
AGT0069,113,12,18284,0.735,12,4,62.56,IL
AGT0014,121,2,18918,0.575,13,21,74.91,MI
AGT0025,492,19,5783,0.562,4,21,71.45,GA
AGT0025,315,11,11651,0.574,14,8,52.88,OH
AGT0014,276,5,10834,0.648,6,24,96.53,WA
AGT0124,433,26,15567,0.558,3,5,67.44,GA
AGT0174,103,14,15384,0.828,10,14,87.88,WA
AGT0160,209,1,19902,0.498,3,17,95.35,MI
AGT0150,81,2,2460,0.478,6,2,50.57,OH
AGT0197,401,8,16537,0.457,8,23,56.17,CA
AGT0126,108,28,16307,0.626,7,23,59.53,OH
AGT0019,74,2,15086,0.462,1,10,94.29,WA
AGT0100,188,12,5009,0.414,2,11,77.28,GA
AGT0152,286,11,15114,0.562,1,9,65.55,FL
AGT0092,110,18,10100,0.939,9,5,52.21,MI
AGT0062,451,17,6303,0.406,14,22,51.77,MI
AGT0099,415,14,8128,0.435,9,22,78.88,NC
AGT0157,460,24,8872,0.721,8,14,85.16,TX
AGT0073,189,0,15063,0.674,12,11,69.28,NC
AGT0071,200,11,4814,0.457,0,17,64.38,MI
AGT0095,268,1,5430,0.892,1,12,90.33,IL
AGT0084,455,9,8039,0.771,14,19,93.28,GA
AGT0043,255,7,9860,0.672,13,14,69.17,MI
AGT0056,200,26,18977,0.699,8,5,87.41,NC
AGT0024,333,20,6046,0.838,1,22,93.47,GA
AGT0151,74,7,18218,0.454,2,11,69.03,IL
AGT0043,498,19,2041,0.913,11,13,58.04,TX
AGT0196,347,24,10699,0.462,3,16,68.42,FL
AGT0195,227,5,17026,0.652,8,22,53.11,OH
AGT0135,54,16,6906,0.536,11,11,51.78,NC
AGT0199,168,14,5265,0.766,6,5,91.24,NY
AGT0173,290,27,12503,0.862,7,3,92.64,NY
AGT0151,487,11,5415,0.739,13,15,82.37,FL
AGT0072,248,20,1293,0.523,14,11,92.84,NY
AGT0168,498,17,1888,0.829,6,13,96.77,GA
AGT0069,263,9,10099,0.918,3,21,84.32,CA
AGT0021,392,10,10551,0.489,0,8,95.58,GA
AGT0114,58,25,1497,0.539,2,16,95.98,CA
AGT0025,400,26,6110,0.691,7,6,63.72,WA
AGT0019,128,7,15379,0.807,14,17,97.5,NC
AGT0019,209,14,11744,0.47,7,2,99.19,WA
AGT0183,168,4,12624,0.428,14,5,63.99,NY
AGT0013,274,12,14747,0.712,11,7,81.37,IL
AGT0079,311,26,18175,0.838,1,5,61.01,IL
AGT0150,182,21,1872,0.564,5,17,69.69,TX
AGT0161,38,14,10170,0.721,8,10,81.2,NC
AGT0012,313,23,4809,0.842,1,7,51.87,TX
AGT0179,215,16,13678,0.416,0,7,82.32,MI
AGT0190,414,13,8426,0.585,5,18,74.3,WA
AGT0194,350,0,3923,0.567,13,14,56.19,FL
AGT0131,193,3,17715,0.798,9,22,84.23,NY
AGT0103,35,16,10804,0.766,7,13,97.12,CA
AGT0035,272,2,3084,0.855,8,17,50.11,NY
AGT0025,399,0,5281,0.702,8,23,71.89,FL
AGT0164,389,9,15132,0.525,12,20,56.31,GA
AGT0171,174,16,9938,0.638,4,19,60.35,NC
AGT0165,112,21,19118,0.618,4,14,74.58,CA
