POLICY_NUMBER,CUSTOMER_ID,AGENT_ID,INSURANCE_TYPE,POLICY_EFF_DT,PREMIUM_AMOUNT,RISK_SEGMENTATION,CLAIM_STATUS,STATE,IS_FRAUD
POL000320,CUST00320,AGT0061,Travel,2016-06-27,691,Low,Approved,WA,0
POL000321,CUST00321,AGT0196,Auto,2023-12-04,3466,Low,Rejected,CA,0
POL000322,CUST00322,AGT0199,Life,2020-04-10,2516,Medium,Approved,CA,0
POL000323,CUST00323,AGT0098,Auto,2018-03-02,2581,Low,Approved,CA,0
POL000324,CUST00324,AGT0188,Home,2019-01-16,1693,High,Approved,GA,0
POL000325,CUST00325,AGT0101,Travel,2016-07-22,4870,High,Approved,WA,0
POL000326,CUST00326,AGT0026,Health,2020-02-19,2267,Low,Approved,TX,0
POL000327,CUST00327,AGT0174,Auto,2018-10-30,4327,Medium,Approved,NC,0
POL000328,CUST00328,AGT0084,Home,2022-03-07,2412,Medium,Approved,NC,0
POL000329,CUST00329,AGT0123,Health,2015-03-11,717,Medium,Approved,FL,0
POL000330,CUST00330,AGT0130,Travel,2023-05-20,4457,Low,Under Investigation,CA,0
POL000331,CUST00331,AGT0062,Travel,2015-07-19,1332,Low,Approved,IL,0
POL000332,CUST00332,AGT0147,Life,2018-10-03,1716,Medium,Rejected,CA,0
POL000333,CUST00333,AGT0101,Life,2018-01-24,4374,Low,Approved,TX,0
POL000334,CUST00334,AGT0074,Life,2021-06-17,4521,Medium,Approved,IL,0
POL000335,CUST00335,AGT0060,Life,2020-12-02,4625,Low,Approved,MI,1
POL000336,CUST00336,AGT0150,Home,2016-10-08,2416,Medium,Under Investigation,WA,0
POL000337,CUST00337,AGT0050,Travel,2019-06-01,3906,Medium,Rejected,GA,1
POL000338,CUST00338,AGT0025,Health,2019-10-23,1975,Low,Under Investigation,FL,0
POL000339,CUST00339,AGT0177,Auto,2019-03-05,3831,Low,Approved,NY,1
POL000340,CUST00340,AGT0067,Life,2015-03-13,2761,Medium,Rejected,GA,0
POL000341,CUST00341,AGT0129,Life,2016-08-08,733,Low,Rejected,TX,1
POL000342,CUST00342,AGT0144,Travel,2019-07-14,2379,Medium,Under Investigation,OH,0
POL000343,CUST00343,AGT0168,Health,2017-05-05,2604,Medium,Approved,NC,0
POL000344,CUST00344,AGT0126,Home,2019-11-27,1658,Low,Under Investigation,MI,0
POL000345,CUST00345,AGT0142,Home,2016-06-21,2185,Medium,Approved,CA,0
POL000346,CUST00346,AGT0168,Health,2021-08-13,2762,Medium,Rejected,FL,0
POL000347,CUST00347,AGT0189,Life,2016-09-11,723,Medium,Approved,FL,0
POL000348,CUST00348,AGT0010,Home,2020-11-04,1183,Low,Approved,OH,0
POL000349,CUST00349,AGT0149,Life,2022-07-12,3950,Low,Approved,TX,0
POL000350,CUST00350,AGT0035,Home,2018-03-23,2083,Low,Rejected,WA,1
POL000351,CUST00351,AGT0179,Health,2016-04-03,3237,High,Approved,WA,0
POL000352,CUST00352,AGT0010,Travel,2015-01-19,3046,High,Approved,NY,0
POL000353,CUST00353,AGT0050,Home,2018-03-30,2980,Medium,Approved,IL,0
POL000354,CUST00354,AGT0039,Life,2016-01-15,2360,Low,Rejected,IL,0
POL000355,CUST00355,AGT0121,Home,2022-12-07,2674,Medium,Approved,CA,0
POL000356,CUST00356,AGT0001,Health,2023-10-03,4207,Medium,Rejected,MI,0
POL000357,CUST00357,AGT0004,Travel,2023-10-28,4842,Medium,Approved,NC,0
POL000358,CUST00358,AGT0101,Health,2023-04-19,1655,Low,Rejected,NY,0
POL000359,CUST00359,AGT0195,Travel,2020-04-11,3512,High,Rejected,OH,0
POL000360,CUST00360,AGT0106,Home,2017-12-04,4863,Low,Rejected,NY,0
POL000361,CUST00361,AGT0090,Auto,2019-01-07,534,Low,Rejected,FL,0
POL000362,CUST00362,AGT0132,Auto,2017-04-30,4031,High,Approved,NY,1
POL000363,CUST00363,AGT0111,Travel,2022-07-24,2735,Low,Approved,TX,1
POL000364,CUST00364,AGT0077,Home,2018-12-05,4854,Low,Rejected,MI,1
POL000365,CUST00365,AGT0118,Health,2018-06-19,3102,Medium,Approved,GA,0
POL000366,CUST00366,AGT0001,Travel,2021-03-17,4271,High,Approved,WA,0
POL000367,CUST00367,AGT0049,Life,2018-05-13,1247,Low,Rejected,CA,0
POL000368,CUST00368,AGT0135,Life,2018-03-18,1139,Medium,Approved,GA,0
POL000369,CUST00369,AGT0069,Life,2017-01-16,4669,Low,Approved,OH,0
POL000370,CUST00370,AGT0011,Auto,2015-08-10,2869,Low,Under Investigation,GA,0
POL000371,CUST00371,AGT0025,Auto,2015-05-05,3012,Low,Approved,WA,0
POL000372,CUST00372,AGT0174,Life,2018-08-16,1264,Medium,Approved,NY,0
POL000373,CUST00373,AGT0066,Auto,2023-12-15,1520,Low,Approved,TX,0
POL000374,CUST00374,AGT0005,Life,2017-05-06,4182,Low,Approved,CA,0
POL000375,CUST00375,AGT0146,Auto,2020-10-07,1864,Medium,Rejected,IL,0
POL000376,CUST00376,AGT0107,Health,2017-12-03,3128,Medium,Rejected,TX,1
POL000377,CUST00377,AGT0091,Life,2017-09-21,1924,Medium,Approved,TX,0
POL000378,CUST00378,AGT0179,Life,2016-06-19,1685,Medium,Approved,TX,0
POL000379,CUST00379,AGT0063,Life,2020-01-26,1247,Low,Approved,FL,0
POL000380,CUST00380,AGT0115,Life,2020-12-04,4683,Low,Approved,TX,0
POL000381,CUST00381,AGT0149,Auto,2018-02-24,4730,Low,Rejected,IL,0
POL000382,CUST00382,AGT0122,Travel,2019-09-27,1018,Medium,Rejected,GA,0
POL000383,CUST00383,AGT0042,Health,2019-04-14,2089,Low,Approved,FL,0
POL000384,CUST00384,AGT0137,Auto,2017-06-09,3037,Low,Rejected,TX,0
POL000385,CUST00385,AGT0149,Travel,2021-03-22,2224,Low,Rejected,OH,0
POL000386,CUST00386,AGT0025,Auto,2019-12-25,3744,Low,Approved,CA,0
POL000387,CUST00387,AGT0034,Home,2015-08-05,1671,High,Rejected,NC,0
POL000388,CUST00388,AGT0135,Home,2019-06-08,764,Medium,Rejected,NY,0
POL000389,CUST00389,AGT0024,Life,2018-07-03,2016,Low,Approved,IL,1
POL000390,CUST00390,AGT0177,Auto,2022-02-28,3190,Medium,Approved,FL,0
POL000391,CUST00391,AGT0022,Auto,2017-10-04,1312,Medium,Rejected,FL,0
POL000392,CUST00392,AGT0195,Home,2023-08-08,4171,Low,Under Investigation,TX,1
POL000393,CUST00393,AGT0135,Home,2020-07-13,555,Low,Approved,OH,0
POL000394,CUST00394,AGT0089,Life,2016-03-05,803,Medium,Approved,TX,0
POL000395,CUST00395,AGT0054,Life,2018-08-18,2789,Low,Rejected,GA,1
POL000396,CUST00396,AGT0069,Auto,2022-12-14,2805,Medium,Approved,FL,0
POL000397,CUST00397,AGT0150,Travel,2017-04-16,1826,Medium,Approved,OH,0
POL000398,CUST00398,AGT0151,Home,2021-05-04,1663,Medium,Approved,OH,0
POL000399,CUST00399,AGT0042,Travel,2022-01-18,814,High,Under Investigation,GA,0
POL000400,CUST00400,AGT0109,Travel,2021-03-25,3483,Medium,Rejected,NC,0
POL000401,CUST00401,AGT0199,Auto,2015-10-24,2205,Medium,Under Investigation,OH,0
POL000402,CUST00402,AGT0052,Home,2018-05-14,1034,Low,Approved,MI,0
POL000403,CUST00403,AGT0139,Home,2018-02-18,2299,Medium,Approved,FL,0
POL000404,CUST00404,AGT0035,Home,2018-02-04,4716,Medium,Approved,NC,1
POL000405,CUST00405,AGT0167,Health,2022-11-28,1675,High,Approved,NY,0
POL000406,CUST00406,AGT0035,Home,2015-01-19,4526,Medium,Approved,GA,0
POL000407,CUST00407,AGT0060,Home,2019-11-07,1664,Low,Rejected,IL,0
POL000408,CUST00408,AGT0092,Auto,2023-11-02,1336,Medium,Rejected,WA,0
POL000409,CUST00409,AGT0075,Health,2022-11-16,1672,High,Rejected,FL,1
POL000410,CUST00410,AGT0035,Auto,2020-06-15,1954,Medium,Approved,OH,0
POL000411,CUST00411,AGT0129,Travel,2023-12-24,1042,Medium,Approved,TX,0
POL000412,CUST00412,AGT0004,Life,2018-08-15,3144,Medium,Approved,GA,0
POL000413,CUST00413,AGT0197,Health,2020-07-01,2000,Medium,Approved,CA,1
POL000414,CUST00414,AGT0011,Health,2019-11-22,3731,Low,Approved,IL,0
POL000415,CUST00415,AGT0067,Auto,2015-06-05,2709,Low,Approved,CA,1
POL000416,CUST00416,AGT0186,Health,2015-05-14,2491,Medium,Under Investigation,NY,0
POL000417,CUST00417,AGT0032,Travel,2023-01-26,2619,High,Approved,IL,1
POL000418,CUST00418,AGT0015,Auto,2016-07-24,1203,High,Approved,NY,0
POL000419,CUST00419,AGT0149,Auto,2018-03-11,3707,Low,Approved,NY,0
POL000420,CUST00420,AGT0015,Travel,2020-08-10,968,Low,Rejected,TX,0
POL000421,CUST00421,AGT0180,Home,2020-03-06,3746,Low,Approved,NC,0
POL000422,CUST00422,AGT0091,Auto,2019-08-17,4998,Medium,Approved,NC,1
POL000423,CUST00423,AGT0174,Home,2023-10-23,3937,Medium,Approved,IL,1
POL000424,CUST00424,AGT0050,Life,2022-01-30,2549,High,Approved,CA,1
POL000425,CUST00425,AGT0029,Health,2023-06-22,1915,Low,Rejected,CA,0
POL000426,CUST00426,AGT0193,Health,2020-12-04,4426,Medium,Approved,GA,0
POL000427,CUST00427,AGT0153,Life,2023-10-23,1657,Medium,Approved,WA,0
POL000428,CUST00428,AGT0183,Home,2020-05-30,2670,Low,Rejected,MI,0
POL000429,CUST00429,AGT0064,Travel,2019-11-16,3968,High,Approved,IL,1
POL000430,CUST00430,AGT0081,Health,2022-05-02,4650,Medium,Rejected,IL,0
POL000431,CUST00431,AGT0116,Health,2022-10-25,4644,Low,Approved,TX,0
POL000432,CUST00432,AGT0090,Auto,2015-08-13,894,Low,Rejected,CA,0
POL000433,CUST00433,AGT0049,Life,2023-03-12,4542,High,Approved,NC,0
POL000434,CUST00434,AGT0076,Home,2021-03-20,1013,Medium,Approved,IL,0
POL000435,CUST00435,AGT0122,Health,2023-01-28,3130,Medium,Approved,IL,1
POL000436,CUST00436,AGT0008,Life,2021-06-09,4683,Medium,Under Investigation,NY,0
POL000437,CUST00437,AGT0068,Health,2023-05-04,3446,Low,Approved,NY,1
POL000438,CUST00438,AGT0059,Auto,2017-06-23,4763,Medium,Under Investigation,WA,0
POL000439,CUST00439,AGT0015,Home,2016-09-08,2049,High,Under Investigation,MI,0
POL000440,CUST00440,AGT0025,Home,2016-10-04,1916,Low,Approved,GA,0
POL000441,CUST00441,AGT0100,Home,2017-04-08,1967,Medium,Approved,NY,0
POL000442,CUST00442,AGT0021,Home,2016-12-03,2098,Low,Approved,NC,0
POL000443,CUST00443,AGT0069,Travel,2018-12-22,3572,Low,Under Investigation,NY,0
POL000444,CUST00444,AGT0113,Health,2016-10-13,2536,Low,Rejected,OH,0
POL000445,CUST00445,AGT0175,Health,2016-06-03,3818,High,Approved,TX,0
POL000446,CUST00446,AGT0020,Home,2019-09-18,2372,Low,Approved,NC,0
POL000447,CUST00447,AGT0087,Auto,2022-02-19,1884,Low,Rejected,CA,0
POL000448,CUST00448,AGT0021,Auto,2016-03-21,1355,Medium,Approved,NC,0
POL000449,CUST00449,AGT0086,Home,2019-08-08,2979,Low,Approved,GA,1
POL000450,CUST00450,AGT0097,Home,2020-12-06,4542,Medium,Approved,CA,0
POL000451,CUST00451,AGT0160,Life,2021-05-07,4365,High,Approved,OH,1
POL000452,CUST00452,AGT0089,Auto,2015-12-12,1639,Low,Under Investigation,FL,0
POL000453,CUST00453,AGT0188,Travel,2021-08-08,2649,Low,Rejected,IL,0
POL000454,CUST00454,AGT0028,Home,2015-03-30,3673,High,Approved,CA,0
POL000455,CUST00455,AGT0011,Auto,2017-02-17,3255,Low,Approved,NC,1
POL000456,CUST00456,AGT0001,Health,2017-11-15,802,Low,Rejected,OH,0
POL000457,CUST00457,AGT0072,Health,2022-09-03,3159,High,Approved,NY,0
POL000458,CUST00458,AGT0039,Home,2016-09-22,674,High,Approved,MI,0
POL000459,CUST00459,AGT0019,Home,2022-01-15,1024,Medium,Approved,GA,0
POL000460,CUST00460,AGT0048,Home,2023-11-23,3441,Medium,Rejected,GA,0
POL000461,CUST00461,AGT0195,Home,2023-08-21,961,High,Under Investigation,TX,0
POL000462,CUST00462,AGT0161,Travel,2017-09-22,2025,Medium,Rejected,OH,1
POL000463,CUST00463,AGT0004,Travel,2015-11-11,3147,Medium,Approved,NC,0
POL000464,CUST00464,AGT0184,Home,2016-12-30,3449,Medium,Rejected,WA,0
POL000465,CUST00465,AGT0042,Travel,2021-12-01,2505,Medium,Approved,GA,0
POL000466,CUST00466,AGT0082,Travel,2016-10-08,923,Medium,Under Investigation,TX,0
POL000467,CUST00467,AGT0066,Travel,2020-10-22,4095,Low,Approved,GA,0
POL000468,CUST00468,AGT0082,Health,2018-05-13,4774,Medium,Approved,CA,0
POL000469,CUST00469,AGT0153,Home,2021-11-24,4499,Medium,Approved,NY,1
POL000470,CUST00470,AGT0143,Health,2020-06-13,3868,Low,Approved,WA,0
POL000471,CUST00471,AGT0119,Auto,2020-04-07,2309,Low,Approved,MI,0
POL000472,CUST00472,AGT0126,Auto,2022-01-13,4443,Medium,Approved,WA,0
POL000473,CUST00473,AGT0146,Life,2023-08-04,2696,Low,Rejected,NY,1
POL000474,CUST00474,AGT0037,Home,2018-04-12,1114,Low,Rejected,GA,1
POL000475,CUST00475,AGT0080,Travel,2019-10-04,4327,Low,Approved,NC,0
POL000476,CUST00476,AGT0022,Life,2020-08-18,1940,Low,Approved,FL,0
POL000477,CUST00477,AGT0141,Auto,2022-05-28,4724,Medium,Approved,WA,0
POL000478,CUST00478,AGT0088,Travel,2019-05-04,2157,Low,Approved,WA,0
POL000479,CUST00479,AGT0128,Home,2018-05-15,4412,Low,Approved,TX,0
POL000480,CUST00480,AGT0113,Home,2022-08-13,2917,Medium,Under Investigation,NC,0
POL000481,CUST00481,AGT0055,Travel,2023-07-30,2603,Low,Under Investigation,IL,0
POL000482,CUST00482,AGT0028,Life,2020-02-13,1835,Low,Approved,GA,0
POL000483,CUST00483,AGT0195,Auto,2015-12-07,4260,Medium,Rejected,OH,0
POL000484,CUST00484,AGT0059,Auto,2017-08-10,772,Medium,Rejected,FL,0
POL000485,CUST00485,AGT0022,Home,2019-03-02,2609,Medium,Approved,CA,1
POL000486,CUST00486,AGT0062,Auto,2021-04-30,2159,Medium,Rejected,OH,0
POL000487,CUST00487,AGT0181,Auto,2021-01-09,2945,High,Approved,MI,0
POL000488,CUST00488,AGT0053,Life,2022-05-18,1645,Low,Approved,MI,0
POL000489,CUST00489,AGT0198,Auto,2015-04-09,3490,Medium,Under Investigation,FL,0
POL000490,CUST00490,AGT0093,Auto,2019-03-10,2236,Medium,Rejected,MI,0
POL000491,CUST00491,AGT0173,Home,2021-04-22,1346,Low,Approved,NY,0
POL000492,CUST00492,AGT0131,Auto,2023-11-18,1386,High,Approved,OH,0
POL000493,CUST00493,AGT0009,Health,2016-04-12,3634,Low,Under Investigation,NY,0
POL000494,CUST00494,AGT0102,Travel,2022-11-28,1678,High,Approved,OH,0
POL000495,CUST00495,AGT0084,Life,2015-01-26,1882,Medium,Under Investigation,OH,0
POL000496,CUST00496,AGT0041,Travel,2016-10-09,3321,Medium,Under Investigation,GA,0
POL000497,CUST00497,AGT0110,Health,2022-08-15,1984,Low,Approved,IL,0
POL000498,CUST00498,AGT0021,Life,2022-01-29,2246,High,Rejected,OH,0
POL000499,CUST00499,AGT0140,Health,2023-10-02,1600,Medium,Rejected,GA,0
POL000500,CUST00500,AGT0165,Health,2020-05-28,2054,Low,Rejected,IL,0
POL000501,CUST00501,AGT0019,Auto,2020-07-17,3617,Low,Approved,OH,0
POL000502,CUST00502,AGT0096,Travel,2019-10-24,2902,Medium,Approved,CA,0
POL000503,CUST00503,AGT0132,Auto,2019-08-09,4988,Low,Approved,MI,0
POL000504,CUST00504,AGT0013,Health,2019-08-16,3973,Medium,Rejected,TX,0
POL000505,CUST00505,AGT0078,Home,2017-08-19,575,Medium,Rejected,MI,0
POL000506,CUST00506,AGT0052,Home,2022-09-05,2204,Low,Rejected,NC,0
POL000507,CUST00507,AGT0008,Health,2018-03-17,1804,Medium,Approved,WA,0
POL000508,CUST00508,AGT0161,Health,2020-06-30,3143,Low,Approved,CA,0
POL000509,CUST00509,AGT0089,Health,2021-01-08,1695,High,Approved,FL,0
POL000510,CUST00510,AGT0151,Travel,2019-11-02,4847,High,Rejected,CA,1
POL000511,CUST00511,AGT0118,Home,2020-07-02,1847,Low,Approved,IL,1
POL000512,CUST00512,AGT0176,Travel,2015-06-10,2848,Medium,Rejected,WA,0
POL000513,CUST00513,AGT0200,Travel,2017-11-04,1053,Medium,Approved,NC,1
POL000514,CUST00514,AGT0121,Life,2019-01-13,4594,High,Approved,NC,0
POL000515,CUST00515,AGT0071,Travel,2018-07-19,4603,Low,Under Investigation,MI,0
POL000516,CUST00516,AGT0085,Auto,2023-03-03,4071,Medium,Approved,CA,0
POL000517,CUST00517,AGT0166,Travel,2023-01-27,2082,High,Approved,NC,0
POL000518,CUST00518,AGT0086,Home,2021-05-27,764,Low,Rejected,NY,0
POL000519,CUST00519,AGT0104,Life,2018-03-03,3699,Medium,Approved,GA,1
POL000520,CUST00520,AGT0039,Health,2015-06-17,2430,Low,Under Investigation,NC,0
POL000521,CUST00521,AGT0199,Auto,2021-10-17,4956,Medium,Under Investigation,GA,0
POL000522,CUST00522,AGT0131,Travel,2022-12-14,3642,Low,Rejected,IL,0
POL000523,CUST00523,AGT0067,Home,2019-05-28,2923,High,Approved,GA,0
POL000524,CUST00524,AGT0118,Auto,2022-06-09,4940,Low,Approved,IL,0
POL000525,CUST00525,AGT0081,Life,2023-05-17,4102,Low,Under Investigation,GA,1
POL000526,CUST00526,AGT0031,Auto,2019-12-02,2562,Medium,Approved,IL,0
POL000527,CUST00527,AGT0175,Home,2016-11-19,584,Medium,Under Investigation,NY,0
POL000528,CUST00528,AGT0178,Life,2015-03-15,917,Medium,Rejected,FL,0
POL000529,CUST00529,AGT0167,Life,2021-10-23,2496,Medium,Approved,NY,0
POL000530,CUST00530,AGT0074,Home,2020-01-23,3029,Low,Approved,NC,0
POL000531,CUST00531,AGT0052,Health,2016-05-20,635,Medium,Rejected,MI,0
POL000532,CUST00532,AGT0010,Travel,2015-06-29,1069,Low,Approved,TX,0
POL000533,CUST00533,AGT0147,Auto,2023-09-21,3669,Low,Approved,TX,0
POL000534,CUST00534,AGT0066,Auto,2017-11-18,3881,High,Rejected,OH,0
POL000535,CUST00535,AGT0179,Auto,2017-12-10,634,Medium,Approved,NC,1
POL000536,CUST00536,AGT0174,Travel,2020-08-28,2784,Low,Approved,TX,0
POL000537,CUST00537,AGT0026,Home,2018-04-12,864,Low,Rejected,NY,0
POL000538,CUST00538,AGT0184,Auto,2023-03-19,3755,High,Rejected,CA,0
POL000539,CUST00539,AGT0029,Auto,2021-02-15,4253,Low,Approved,CA,0
POL000540,CUST00540,AGT0099,Auto,2018-03-21,4412,Low,Under Investigation,TX,0
POL000541,CUST00541,AGT0095,Travel,2017-05-26,3191,Low,Under Investigation,NC,0
POL000542,CUST00542,AGT0192,Home,2022-09-27,3330,Low,Approved,MI,0
POL000543,CUST00543,AGT0132,Auto,2020-04-28,4669,Low,Approved,IL,0
POL000544,CUST00544,AGT0176,Health,2023-04-06,3255,High,Rejected,TX,0
POL000545,CUST00545,AGT0120,Life,2018-02-07,2508,Low,Approved,WA,1
POL000546,CUST00546,AGT0166,Home,2015-03-11,3895,Medium,Rejected,FL,0
POL000547,CUST00547,AGT0171,Travel,2023-02-02,3158,Medium,Approved,TX,0
POL000548,CUST00548,AGT0172,Auto,2017-02-25,4291,Medium,Approved,TX,1
POL000549,CUST00549,AGT0083,Auto,2022-08-10,2861,Medium,Approved,NY,0
POL000550,CUST00550,AGT0077,Auto,2021-05-21,4410,Medium,Approved,NC,0
POL000551,CUST00551,AGT0197,Health,2017-01-31,701,Medium,Under Investigation,NY,0
POL000552,CUST00552,AGT0152,Life,2021-10-22,663,Medium,Approved,IL,0
POL000553,CUST00553,AGT0184,Life,2015-09-26,945,Medium,Under Investigation,NY,0
POL000554,CUST00554,AGT0116,Health,2018-07-13,3002,Medium,Approved,WA,0
POL000555,CUST00555,AGT0186,Life,2018-03-17,3690,Medium,Rejected,GA,1
POL000556,CUST00556,AGT0144,Life,2020-11-28,1473,Low,Under Investigation,GA,0
POL000557,CUST00557,AGT0149,Auto,2019-10-23,1200,Medium,Approved,IL,0
POL000558,CUST00558,AGT0036,Life,2020-07-04,4371,Medium,Approved,OH,0
POL000559,CUST00559,AGT0114,Home,2019-04-14,3877,Low,Rejected,MI,0
POL000560,CUST00560,AGT0147,Auto,2021-08-27,3417,High,Rejected,GA,0
POL000561,CUST00561,AGT0153,Health,2016-06-10,2697,Low,Approved,MI,1
POL000562,CUST00562,AGT0192,Life,2021-06-19,2391,Low,Approved,CA,0
POL000563,CUST00563,AGT0066,Life,2015-06-14,592,High,Rejected,MI,0
POL000564,CUST00564,AGT0061,Health,2015-10-10,1346,Low,Approved,WA,0
POL000565,CUST00565,AGT0194,Life,2021-07-05,4536,Low,Rejected,GA,0
POL000566,CUST00566,AGT0198,Health,2016-06-04,2025,Low,Approved,WA,0
POL000567,CUST00567,AGT0036,Home,2021-12-05,3670,High,Approved,OH,0
POL000568,CUST00568,AGT0076,Auto,2016-03-12,3666,Low,Rejected,FL,1
POL000569,CUST00569,AGT0190,Travel,2016-04-27,1892,Medium,Approved,GA,0
POL000570,CUST00570,AGT0040,Travel,2023-05-23,1419,Medium,Under Investigation,GA,0
POL000571,CUST00571,AGT0157,Auto,2016-08-05,3612,Medium,Approved,TX,0
POL000572,CUST00572,AGT0023,Home,2023-03-21,921,High,Approved,FL,0
POL000573,CUST00573,AGT0036,Life,2018-02-17,2726,Medium,Approved,FL,0
POL000574,CUST00574,AGT0157,Home,2022-03-05,4496,Low,Approved,OH,0
POL000575,CUST00575,AGT0122,Health,2023-06-14,3700,High,Rejected,TX,0
POL000576,CUST00576,AGT0111,Travel,2016-01-19,3938,Medium,Rejected,NC,0
POL000577,CUST00577,AGT0172,Health,2017-12-21,874,Low,Rejected,TX,0
POL000578,CUST00578,AGT0062,Health,2020-03-02,1399,Low,Approved,WA,0
POL000579,CUST00579,AGT0101,Health,2022-10-15,1737,Medium,Approved,GA,0
POL000580,CUST00580,AGT0122,Travel,2016-09-07,1815,Low,Approved,NY,0
POL000581,CUST00581,AGT0148,Home,2016-09-05,1373,Medium,Rejected,NY,0
POL000582,CUST00582,AGT0067,Life,2018-04-25,4874,Low,Approved,GA,0
POL000583,CUST00583,AGT0127,Travel,2016-11-03,1242,Medium,Approved,CA,1
POL000584,CUST00584,AGT0090,Travel,2017-05-27,3686,Low,Approved,NC,0
POL000585,CUST00585,AGT0109,Travel,2016-03-02,3140,Medium,Approved,OH,0
POL000586,CUST00586,AGT0173,Travel,2022-06-16,3247,Low,Rejected,FL,0
POL000587,CUST00587,AGT0079,Travel,2022-03-02,1465,Low,Rejected,MI,0
POL000588,CUST00588,AGT0134,Travel,2016-04-19,1884,Low,Under Investigation,GA,0
POL000589,CUST00589,AGT0189,Life,2019-10-30,3229,Low,Approved,TX,0
POL000590,CUST00590,AGT0153,Auto,2020-10-24,1846,Medium,Approved,GA,1
POL000591,CUST00591,AGT0198,Auto,2020-08-24,3623,Medium,Approved,IL,0
POL000592,CUST00592,AGT0117,Life,2023-11-08,677,Low,Rejected,NC,0
POL000593,CUST00593,AGT0057,Health,2020-10-08,827,High,Rejected,IL,0
POL000594,CUST00594,AGT0199,Travel,2021-03-07,3778,Low,Approved,WA,0
POL000595,CUST00595,AGT0129,Travel,2015-04-19,3275,Low,Rejected,WA,1
POL000596,CUST00596,AGT0049,Life,2015-09-18,694,Medium,Approved,CA,0
POL000597,CUST00597,AGT0064,Life,2020-07-26,4545,Medium,Approved,IL,0
POL000598,CUST00598,AGT0053,Health,2023-03-03,521,Medium,Approved,FL,0
POL000599,CUST00599,AGT0167,Home,2018-08-04,4799,Low,Approved,IL,0
POL000600,CUST00600,AGT0019,Travel,2020-10-14,3782,Low,Under Investigation,TX,0
POL000601,CUST00601,AGT0148,Travel,2016-11-21,4946,Medium,Rejected,OH,0
POL000602,CUST00602,AGT0111,Health,2019-02-08,4769,Low,Rejected,TX,0
POL000603,CUST00603,AGT0015,Travel,2021-10-04,1909,Low,Under Investigation,GA,0
POL000604,CUST00604,AGT0123,Home,2020-12-07,3904,High,Rejected,IL,0
POL000605,CUST00605,AGT0151,Travel,2016-01-11,1449,Medium,Approved,WA,0
POL000606,CUST00606,AGT0146,Home,2022-11-28,2622,Low,Approved,MI,0
POL000607,CUST00607,AGT0106,Life,2023-05-05,1580,Low,Approved,GA,0
POL000608,CUST00608,AGT0068,Auto,2019-04-17,2687,Medium,Under Investigation,IL,1
POL000609,CUST00609,AGT0033,Health,2018-01-24,4425,Low,Under Investigation,NC,0
POL000610,CUST00610,AGT0003,Life,2019-10-12,2462,Low,Rejected,GA,0
POL000611,CUST00611,AGT0072,Travel,2022-03-18,915,Low,Approved,TX,0
POL000612,CUST00612,AGT0127,Auto,2019-01-26,1960,Medium,Approved,NY,0
POL000613,CUST00613,AGT0008,Auto,2015-04-10,4039,Medium,Under Investigation,WA,0
POL000614,CUST00614,AGT0200,Life,2015-08-27,2847,Low,Approved,NY,0
POL000615,CUST00615,AGT0118,Home,2022-04-20,3020,Low,Approved,CA,0
POL000616,CUST00616,AGT0059,Travel,2022-01-30,2440,Medium,Approved,MI,0
POL000617,CUST00617,AGT0193,Auto,2021-12-11,1817,Medium,Approved,WA,0
POL000618,CUST00618,AGT0037,Health,2016-02-20,3191,Medium,Rejected,GA,0
POL000619,CUST00619,AGT0192,Auto,2016-07-14,3348,Low,Under Investigation,GA,1
POL000620,CUST00620,AGT0057,Life,2018-07-20,4541,Medium,Rejected,NY,1
POL000621,CUST00621,AGT0076,Travel,2017-01-28,3280,High,Approved,NY,0
POL000622,CUST00622,AGT0086,Auto,2018-06-25,4977,Medium,Approved,WA,0
POL000623,CUST00623,AGT0199,Health,2020-01-10,4219,Low,Under Investigation,MI,0
POL000624,CUST00624,AGT0051,Travel,2017-07-09,854,Medium,Approved,IL,0
POL000625,CUST00625,AGT0195,Auto,2016-02-10,2264,Low,Approved,NY,0
POL000626,CUST00626,AGT0070,Travel,2018-08-15,2231,Low,Rejected,TX,0
POL000627,CUST00627,AGT0058,Travel,2021-07-02,513,Low,Approved,CA,0
POL000628,CUST00628,AGT0128,Auto,2020-07-23,1313,High,Approved,IL,1
POL000629,CUST00629,AGT0139,Auto,2017-11-22,3929,Low,Under Investigation,OH,0
POL000630,CUST00630,AGT0070,Life,2017-10-20,2084,High,Rejected,GA,0
POL000631,CUST00631,AGT0027,Auto,2020-04-01,1165,Medium,Approved,MI,0
POL000632,CUST00632,AGT0080,Home,2016-07-20,1793,Medium,Approved,NY,0
POL000633,CUST00633,AGT0109,Auto,2022-07-02,1736,Low,Under Investigation,TX,1
POL000634,CUST00634,AGT0009,Home,2022-10-27,1285,Medium,Rejected,MI,0
POL000635,CUST00635,AGT0016,Health,2015-03-25,955,Low,Rejected,NC,1
POL000636,CUST00636,AGT0184,Life,2023-09-26,3938,Low,Approved,OH,1
POL000637,CUST00637,AGT0008,Travel,2015-03-18,4210,Low,Under Investigation,CA,0
POL000638,CUST00638,AGT0082,Home,2019-02-15,2733,Low,Under Investigation,IL,0
POL000639,CUST00639,AGT0153,Life,2021-01-01,3269,Medium,Approved,GA,0
