TRANSACTION_ID,POLICY_NUMBER,CUSTOMER_ID,LOSS_DT,REPORT_DT,CLAIM_AMOUNT,PREMIUM_AMOUNT,INCIDENT_SEVERITY,INCIDENT_HOUR_OF_THE_DAY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,VENDOR_ID,IS_FRAUD
TXN0000486,POL000486,CUST00486,2024-06-13,2023-07-18,3438,2159,Major,2,Fire,1,1,NC,VND0014,0
TXN0000487,POL000487,CUST00487,2019-06-09,2024-03-17,3336,2945,Minor,2,None,0,1,IL,VND0019,0
TXN0000488,POL000488,CUST00488,2019-11-12,2020-05-04,3659,1645,Moderate,15,Fire,0,1,NC,VND0006,0
TXN0000489,POL000489,CUST00489,2023-01-09,2022-11-19,3793,3490,Moderate,22,Ambulance,0,0,CA,VND0035,0
TXN0000490,POL000490,CUST00490,2020-08-22,2020-11-05,5082,2236,Major,19,Police,1,1,FL,VND0023,0
TXN0000491,POL000491,CUST00491,2022-07-16,2020-10-10,3062,1346,Major,18,None,0,0,NC,VND0011,0
TXN0000492,POL000492,CUST00492,2024-01-22,2022-05-23,1990,1386,Minor,7,None,1,1,WA,VND0032,0
TXN0000493,POL000493,CUST00493,2019-11-23,2022-10-09,3311,3634,Major,16,Police,0,1,CA,VND0010,0
TXN0000494,POL000494,CUST00494,2024-04-17,2022-04-01,6010,1678,Moderate,1,Ambulance,0,1,NC,VND0027,0
TXN0000495,POL000495,CUST00495,2019-04-16,2019-08-03,2317,1882,Minor,4,Police,1,0,CA,VND0034,0
TXN0000496,POL000496,CUST00496,2020-04-04,2021-04-18,341,3321,Major,3,Ambulance,0,0,MI,VND0041,0
TXN0000497,POL000497,CUST00497,2021-10-15,2020-08-10,6838,1984,Major,4,Ambulance,0,1,FL,VND0035,0
TXN0000498,POL000498,CUST00498,2023-11-03,2019-01-23,1531,2246,Moderate,8,None,1,0,NY,VND0029,0
TXN0000499,POL000499,CUST00499,2022-01-16,2019-04-06,4299,1600,Moderate,1,Police,0,1,NC,VND0002,0
TXN0000500,POL000500,CUST00500,2019-10-06,2021-07-05,5641,2054,Minor,19,Fire,1,1,MI,VND0012,0
TXN0000501,POL000501,CUST00501,2020-05-14,2019-08-04,2066,3617,Moderate,17,Ambulance,1,0,IL,VND0029,0
TXN0000502,POL000502,CUST00502,2023-03-09,2023-02-06,2513,2902,Severe,15,Fire,0,0,NY,VND0027,0
TXN0000503,POL000503,CUST00503,2022-02-01,2019-05-07,2107,4988,Moderate,4,Ambulance,0,1,WA,VND0027,0
TXN0000504,POL000504,CUST00504,2019-01-27,2020-05-01,1218,3973,Severe,20,Police,1,1,WA,VND0037,0
TXN0000505,POL000505,CUST00505,2021-10-03,2024-06-16,1240,575,Minor,0,Police,1,0,OH,VND0046,0
TXN0000506,POL000506,CUST00506,2021-03-27,2022-12-07,1469,2204,Major,23,Ambulance,0,0,CA,VND0026,0
TXN0000507,POL000507,CUST00507,2019-01-02,2022-02-07,3314,1804,Severe,17,Ambulance,0,0,WA,VND0007,0
TXN0000508,POL000508,CUST00508,2020-05-11,2019-02-14,3809,3143,Major,4,Police,0,1,GA,VND0023,0
TXN0000509,POL000509,CUST00509,2024-02-21,2019-04-12,308,1695,Minor,4,None,0,1,OH,VND0013,0
TXN0000510,POL000510,CUST00510,2022-11-13,2024-01-12,9567,4847,Moderate,16,None,0,1,TX,VND0027,1
TXN0000511,POL000511,CUST00511,2019-05-23,2023-06-08,19589,1847,Minor,19,Police,0,1,WA,VND0030,1
TXN0000512,POL000512,CUST00512,2019-02-02,2024-04-05,680,2848,Moderate,11,Fire,0,1,NC,VND0028,0
TXN0000513,POL000513,CUST00513,2020-11-25,2023-06-25,11689,1053,Severe,1,Ambulance,0,1,FL,VND0030,1
TXN0000514,POL000514,CUST00514,2021-07-22,2019-01-19,407,4594,Moderate,11,Fire,1,0,NY,VND0016,0
TXN0000515,POL000515,CUST00515,2021-06-29,2023-06-20,4011,4603,Minor,11,Fire,0,1,NY,VND0009,0
TXN0000516,POL000516,CUST00516,2022-10-30,2021-07-22,3363,4071,Minor,7,Ambulance,0,1,MI,VND0043,0
TXN0000517,POL000517,CUST00517,2019-12-14,2022-11-05,3614,2082,Moderate,21,None,0,1,IL,VND0021,0
TXN0000518,POL000518,CUST00518,2019-04-04,2021-04-24,6702,764,Moderate,8,Fire,0,1,MI,VND0011,0
TXN0000519,POL000519,CUST00519,2022-09-12,2023-01-01,16186,3699,Minor,5,Police,1,0,GA,VND0050,1
TXN0000520,POL000520,CUST00520,2023-12-07,2023-09-01,2097,2430,Major,16,Ambulance,0,1,NY,VND0002,0
TXN0000521,POL000521,CUST00521,2019-12-03,2024-05-24,4141,4956,Minor,14,Ambulance,0,1,IL,VND0018,0
TXN0000522,POL000522,CUST00522,2020-12-25,2022-01-04,6722,3642,Moderate,14,Ambulance,1,1,MI,VND0038,0
TXN0000523,POL000523,CUST00523,2022-06-11,2020-07-28,5156,2923,Moderate,12,Ambulance,0,1,IL,VND0021,0
TXN0000524,POL000524,CUST00524,2019-11-28,2022-05-26,6236,4940,Minor,7,None,0,1,GA,VND0043,0
TXN0000525,POL000525,CUST00525,2023-09-22,2021-10-14,20513,4102,Moderate,6,Ambulance,1,1,TX,VND0018,1
TXN0000526,POL000526,CUST00526,2020-03-28,2020-02-25,2125,2562,Major,2,Ambulance,1,1,IL,VND0033,0
TXN0000527,POL000527,CUST00527,2021-12-04,2023-01-08,3672,584,Moderate,4,Fire,0,0,OH,VND0022,0
TXN0000528,POL000528,CUST00528,2020-11-11,2019-06-18,5755,917,Major,13,Fire,1,1,NY,VND0024,0
TXN0000529,POL000529,CUST00529,2022-09-01,2021-04-03,6515,2496,Moderate,9,Fire,0,1,MI,VND0025,0
TXN0000530,POL000530,CUST00530,2020-02-03,2022-11-05,4863,3029,Minor,17,Fire,0,1,FL,VND0049,0
TXN0000531,POL000531,CUST00531,2019-07-17,2024-02-07,5004,635,Severe,19,Ambulance,0,1,MI,VND0038,0
TXN0000532,POL000532,CUST00532,2021-10-21,2022-06-14,3680,1069,Severe,13,Ambulance,1,0,CA,VND0019,0
TXN0000533,POL000533,CUST00533,2023-10-03,2024-06-03,2373,3669,Minor,2,None,0,1,IL,VND0021,0
TXN0000534,POL000534,CUST00534,2022-06-24,2023-08-13,3075,3881,Severe,0,Fire,1,0,OH,VND0021,0
TXN0000535,POL000535,CUST00535,2023-02-25,2020-05-03,49096,634,Major,5,Ambulance,1,1,FL,VND0037,1
TXN0000536,POL000536,CUST00536,2021-05-19,2023-09-07,5745,2784,Minor,6,Fire,1,0,OH,VND0030,0
TXN0000537,POL000537,CUST00537,2019-10-09,2020-11-20,3976,864,Moderate,1,Fire,1,0,WA,VND0027,0
TXN0000538,POL000538,CUST00538,2021-05-07,2022-07-05,5592,3755,Minor,18,Police,0,0,IL,VND0022,0
TXN0000539,POL000539,CUST00539,2024-06-04,2020-02-22,386,4253,Moderate,8,Fire,0,0,OH,VND0020,0
TXN0000540,POL000540,CUST00540,2023-04-18,2021-12-31,5347,4412,Severe,17,Ambulance,0,0,WA,VND0028,0
TXN0000541,POL000541,CUST00541,2022-11-12,2022-10-10,3648,3191,Moderate,5,Police,0,1,WA,VND0042,0
TXN0000542,POL000542,CUST00542,2020-08-27,2024-01-24,6988,3330,Moderate,0,Police,1,0,CA,VND0049,0
TXN0000543,POL000543,CUST00543,2022-04-18,2024-03-23,3407,4669,Minor,3,Fire,1,0,NC,VND0004,0
TXN0000544,POL000544,CUST00544,2022-06-03,2023-06-11,3453,3255,Moderate,11,None,0,0,MI,VND0012,0
TXN0000545,POL000545,CUST00545,2022-08-05,2022-02-09,15278,2508,Major,11,Police,0,0,WA,VND0035,1
TXN0000546,POL000546,CUST00546,2023-11-28,2023-11-21,5687,3895,Minor,10,Police,1,0,MI,VND0008,0
TXN0000547,POL000547,CUST00547,2022-09-29,2019-08-15,4970,3158,Moderate,23,Fire,0,1,CA,VND0031,0
TXN0000548,POL000548,CUST00548,2020-03-20,2024-07-06,37816,4291,Moderate,15,Fire,0,1,NC,VND0022,1
TXN0000549,POL000549,CUST00549,2020-03-20,2020-02-28,830,2861,Major,17,None,0,0,MI,VND0010,0
TXN0000550,POL000550,CUST00550,2022-05-29,2021-04-04,1638,4410,Major,2,Police,0,1,OH,VND0026,0
TXN0000551,POL000551,CUST00551,2023-10-05,2024-01-11,6163,701,Major,11,Fire,1,0,CA,VND0026,0
TXN0000552,POL000552,CUST00552,2024-03-17,2022-12-24,486,663,Moderate,14,Fire,0,1,TX,VND0036,0
TXN0000553,POL000553,CUST00553,2022-05-08,2023-09-17,3655,945,Moderate,14,Police,0,1,FL,VND0042,0
TXN0000554,POL000554,CUST00554,2021-11-29,2022-10-27,2952,3002,Major,22,Fire,0,0,MI,VND0048,0
TXN0000555,POL000555,CUST00555,2023-06-26,2022-05-05,25488,3690,Major,11,Fire,0,0,TX,VND0022,1
TXN0000556,POL000556,CUST00556,2024-05-14,2019-12-30,6025,1473,Moderate,8,Ambulance,0,1,NC,VND0035,0
TXN0000557,POL000557,CUST00557,2019-02-25,2024-07-07,6297,1200,Major,22,None,0,0,TX,VND0040,0
TXN0000558,POL000558,CUST00558,2020-09-14,2022-07-16,2165,4371,Minor,8,Police,1,0,MI,VND0050,0
TXN0000559,POL000559,CUST00559,2020-11-01,2022-09-17,4195,3877,Minor,13,Fire,1,1,CA,VND0033,0
TXN0000560,POL000560,CUST00560,2022-02-06,2021-05-23,4960,3417,Severe,0,Fire,0,1,FL,VND0013,0
TXN0000561,POL000561,CUST00561,2020-08-14,2024-04-09,34682,2697,Minor,3,None,0,0,TX,VND0018,1
TXN0000562,POL000562,CUST00562,2020-09-16,2021-07-07,249,2391,Severe,1,Police,1,1,OH,VND0011,0
TXN0000563,POL000563,CUST00563,2019-02-18,2020-02-01,6843,592,Moderate,10,Fire,0,0,NC,VND0010,0
TXN0000564,POL000564,CUST00564,2019-01-08,2020-01-11,2616,1346,Severe,22,Fire,0,0,IL,VND0016,0
TXN0000565,POL000565,CUST00565,2021-06-22,2022-11-17,1072,4536,Moderate,1,Fire,0,1,OH,VND0025,0
TXN0000566,POL000566,CUST00566,2024-06-24,2023-02-18,4385,2025,Major,23,None,0,1,GA,VND0040,0
TXN0000567,POL000567,CUST00567,2020-08-16,2020-03-03,5514,3670,Major,20,Ambulance,1,1,IL,VND0015,0
TXN0000568,POL000568,CUST00568,2020-04-26,2022-11-16,11957,3666,Moderate,0,Fire,0,1,NC,VND0010,1
TXN0000569,POL000569,CUST00569,2020-06-14,2024-07-10,477,1892,Moderate,0,None,1,1,FL,VND0007,0
TXN0000570,POL000570,CUST00570,2024-05-07,2021-12-18,6296,1419,Minor,21,None,1,1,TX,VND0010,0
TXN0000571,POL000571,CUST00571,2022-08-25,2024-05-16,6549,3612,Minor,14,Police,1,1,TX,VND0022,0
TXN0000572,POL000572,CUST00572,2022-08-03,2019-11-25,1262,921,Severe,4,Fire,1,0,TX,VND0021,0
TXN0000573,POL000573,CUST00573,2020-01-16,2021-04-03,6347,2726,Minor,22,Fire,1,1,CA,VND0020,0
TXN0000574,POL000574,CUST00574,2023-12-20,2022-02-06,6386,4496,Major,13,Fire,0,0,CA,VND0016,0
TXN0000575,POL000575,CUST00575,2020-01-30,2021-01-02,6982,3700,Moderate,15,Fire,1,1,CA,VND0023,0
TXN0000576,POL000576,CUST00576,2024-04-25,2019-08-04,1671,3938,Moderate,16,None,0,0,TX,VND0033,0
TXN0000577,POL000577,CUST00577,2024-03-26,2021-07-23,4135,874,Severe,4,None,1,1,GA,VND0003,0
TXN0000578,POL000578,CUST00578,2022-02-13,2020-11-26,6961,1399,Minor,8,Police,0,1,FL,VND0045,0
TXN0000579,POL000579,CUST00579,2023-10-09,2020-02-28,6337,1737,Moderate,3,None,0,1,OH,VND0016,0
TXN0000580,POL000580,CUST00580,2024-06-29,2021-01-31,4312,1815,Moderate,12,None,0,0,CA,VND0007,0
TXN0000581,POL000581,CUST00581,2022-03-10,2021-05-03,1540,1373,Minor,23,Fire,0,0,MI,VND0009,0
TXN0000582,POL000582,CUST00582,2023-03-21,2023-11-23,773,4874,Minor,15,Fire,0,1,NY,VND0028,0
TXN0000583,POL000583,CUST00583,2022-03-31,2021-09-27,34047,1242,Major,16,Police,0,1,IL,VND0027,1
TXN0000584,POL000584,CUST00584,2021-11-17,2021-04-28,643,3686,Minor,4,Fire,0,1,GA,VND0005,0
TXN0000585,POL000585,CUST00585,2020-11-02,2021-03-06,1527,3140,Major,13,Police,0,0,WA,VND0025,0
TXN0000586,POL000586,CUST00586,2022-08-07,2022-04-30,709,3247,Moderate,23,None,0,0,NC,VND0012,0
TXN0000587,POL000587,CUST00587,2020-06-20,2020-07-21,5383,1465,Minor,2,Police,0,1,IL,VND0046,0
TXN0000588,POL000588,CUST00588,2020-01-25,2023-11-06,4211,1884,Minor,4,Fire,0,0,NY,VND0016,0
TXN0000589,POL000589,CUST00589,2020-07-06,2021-05-04,3721,3229,Minor,17,Fire,0,1,NY,VND0050,0
TXN0000590,POL000590,CUST00590,2019-01-23,2021-05-18,28453,1846,Major,0,None,0,1,CA,VND0029,1
TXN0000591,POL000591,CUST00591,2024-02-18,2019-05-23,2993,3623,Moderate,4,None,0,0,NY,VND0049,0
TXN0000592,POL000592,CUST00592,2020-05-30,2023-11-24,2940,677,Minor,22,None,1,0,NC,VND0028,0
TXN0000593,POL000593,CUST00593,2023-05-25,2021-08-18,1607,827,Moderate,0,Fire,0,0,FL,VND0007,0
TXN0000594,POL000594,CUST00594,2021-05-22,2019-10-16,3224,3778,Moderate,10,Fire,0,1,NY,VND0033,0
TXN0000595,POL000595,CUST00595,2020-11-12,2019-12-25,48181,3275,Moderate,7,Ambulance,0,1,CA,VND0024,1
TXN0000596,POL000596,CUST00596,2020-04-02,2021-01-16,4207,694,Minor,9,Fire,1,0,FL,VND0041,0
TXN0000597,POL000597,CUST00597,2023-07-06,2023-05-01,6982,4545,Minor,6,Police,0,1,CA,VND0020,0
TXN0000598,POL000598,CUST00598,2021-10-28,2019-07-24,3824,521,Moderate,6,None,0,0,IL,VND0010,0
TXN0000599,POL000599,CUST00599,2021-06-21,2019-09-14,2233,4799,Major,18,Police,0,1,FL,VND0006,0
TXN0000600,POL000600,CUST00600,2022-08-13,2022-02-14,4878,3782,Major,0,Police,0,1,WA,VND0038,0
TXN0000601,POL000601,CUST00601,2023-05-30,2021-10-13,5776,4946,Minor,3,None,0,0,OH,VND0012,0
TXN0000602,POL000602,CUST00602,2022-08-09,2024-04-20,3408,4769,Minor,6,Ambulance,1,0,NY,VND0034,0
TXN0000603,POL000603,CUST00603,2021-07-27,2023-03-05,1902,1909,Major,19,Ambulance,1,1,OH,VND0007,0
TXN0000604,POL000604,CUST00604,2023-11-29,2022-08-26,5054,3904,Minor,9,Police,0,0,WA,VND0004,0
TXN0000605,POL000605,CUST00605,2023-12-03,2020-11-19,1473,1449,Moderate,0,Fire,0,0,TX,VND0036,0
TXN0000606,POL000606,CUST00606,2024-04-23,2022-06-25,6981,2622,Moderate,12,Police,0,1,FL,VND0018,0
TXN0000607,POL000607,CUST00607,2019-07-02,2022-04-02,2361,1580,Minor,15,Ambulance,1,1,OH,VND0029,0
TXN0000608,POL000608,CUST00608,2023-11-23,2020-07-26,49975,2687,Moderate,10,Ambulance,1,1,TX,VND0002,1
TXN0000609,POL000609,CUST00609,2020-01-23,2021-01-28,5143,4425,Minor,2,Fire,0,1,OH,VND0010,0
TXN0000610,POL000610,CUST00610,2022-05-29,2024-02-27,283,2462,Moderate,21,Ambulance,0,1,TX,VND0005,0
TXN0000611,POL000611,CUST00611,2022-08-13,2021-12-30,1579,915,Minor,20,None,0,0,MI,VND0014,0
TXN0000612,POL000612,CUST00612,2020-02-17,2021-08-18,1054,1960,Moderate,21,Ambulance,1,0,NC,VND0015,0
TXN0000613,POL000613,CUST00613,2019-01-17,2023-06-02,2859,4039,Moderate,23,Police,0,1,CA,VND0019,0
TXN0000614,POL000614,CUST00614,2024-03-08,2020-07-04,3963,2847,Minor,7,Ambulance,0,0,OH,VND0013,0
TXN0000615,POL000615,CUST00615,2023-11-24,2020-03-30,1421,3020,Moderate,10,Police,0,1,FL,VND0023,0
TXN0000616,POL000616,CUST00616,2019-12-17,2024-06-20,2540,2440,Major,23,Fire,0,0,OH,VND0046,0
TXN0000617,POL000617,CUST00617,2022-04-21,2023-06-15,5450,1817,Severe,10,None,1,0,OH,VND0005,0
TXN0000618,POL000618,CUST00618,2019-10-31,2021-05-13,6591,3191,Minor,20,Fire,0,1,WA,VND0045,0
TXN0000619,POL000619,CUST00619,2022-02-11,2024-03-29,21468,3348,Minor,15,None,0,1,TX,VND0021,1
TXN0000620,POL000620,CUST00620,2020-09-29,2021-01-29,11005,4541,Moderate,22,Police,1,0,OH,VND0029,1
TXN0000621,POL000621,CUST00621,2023-02-17,2022-10-01,374,3280,Major,0,None,0,1,WA,VND0034,0
TXN0000622,POL000622,CUST00622,2022-02-25,2019-03-26,3738,4977,Moderate,16,Fire,1,0,TX,VND0037,0
TXN0000623,POL000623,CUST00623,2021-09-26,2022-11-15,6180,4219,Moderate,19,Police,1,0,FL,VND0048,0
TXN0000624,POL000624,CUST00624,2022-09-29,2020-01-08,5626,854,Major,4,Fire,0,1,NC,VND0050,0
TXN0000625,POL000625,CUST00625,2021-08-12,2020-05-13,1782,2264,Minor,17,Police,0,1,TX,VND0005,0
TXN0000626,POL000626,CUST00626,2019-01-27,2023-06-27,1958,2231,Moderate,4,Ambulance,0,0,FL,VND0021,0
TXN0000627,POL000627,CUST00627,2022-04-11,2020-03-02,5527,513,Moderate,21,Police,1,0,WA,VND0027,0
TXN0000628,POL000628,CUST00628,2023-04-11,2021-09-10,33898,1313,Moderate,21,Police,1,1,OH,VND0027,1
TXN0000629,POL000629,CUST00629,2021-09-11,2024-02-06,2110,3929,Major,0,Ambulance,0,1,CA,VND0050,0
TXN0000630,POL000630,CUST00630,2019-12-18,2024-04-15,220,2084,Moderate,12,Police,1,0,MI,VND0033,0
TXN0000631,POL000631,CUST00631,2019-01-16,2021-06-24,3222,1165,Moderate,9,Fire,1,0,OH,VND0021,0
TXN0000632,POL000632,CUST00632,2020-08-18,2019-07-02,4413,1793,Moderate,21,Ambulance,1,0,IL,VND0047,0
TXN0000633,POL000633,CUST00633,2023-03-22,2020-08-13,16082,1736,Minor,7,Fire,0,1,WA,VND0037,1
TXN0000634,POL000634,CUST00634,2020-10-08,2022-06-04,6556,1285,Major,17,Police,0,1,NY,VND0040,0
TXN0000635,POL000635,CUST00635,2024-04-02,2020-11-21,44458,955,Major,2,Police,1,0,NY,VND0032,1
TXN0000636,POL000636,CUST00636,2020-10-29,2022-12-30,12275,3938,Severe,5,None,1,0,OH,VND0004,1
TXN0000637,POL000637,CUST00637,2021-05-08,2024-06-29,337,4210,Major,23,None,1,0,FL,VND0049,0
TXN0000638,POL000638,CUST00638,2023-03-07,2022-06-15,6004,2733,Minor,9,Fire,1,1,TX,VND0036,0
TXN0000639,POL000639,CUST00639,2022-05-17,2022-06-22,5335,3269,Moderate,18,None,0,1,TX,VND0008,0
TXN0000640,POL000640,CUST00640,2019-03-24,2021-12-13,2899,4636,Moderate,23,Police,0,1,NY,VND0013,0
TXN0000641,POL000641,CUST00641,2019-06-03,2020-01-24,4208,4291,Minor,23,Police,0,1,CA,VND0018,0
TXN0000642,POL000642,CUST00642,2020-01-30,2022-03-21,5804,646,Moderate,0,None,0,0,OH,VND0013,0
TXN0000643,POL000643,CUST00643,2023-10-16,2024-02-29,48849,4788,Moderate,5,Ambulance,0,1,WA,VND0032,1
TXN0000644,POL000644,CUST00644,2019-02-14,2022-10-30,3945,801,Minor,17,Ambulance,0,0,FL,VND0028,0
TXN0000645,POL000645,CUST00645,2019-05-24,2023-03-05,481,619,Major,22,Fire,0,0,CA,VND0011,0
TXN0000646,POL000646,CUST00646,2023-04-12,2023-10-14,4406,2314,Minor,23,None,0,1,CA,VND0035,0
TXN0000647,POL000647,CUST00647,2022-06-04,2021-03-03,13954,3856,Moderate,17,Ambulance,1,1,TX,VND0015,1
TXN0000648,POL000648,CUST00648,2024-05-28,2020-11-20,600,861,Major,2,Fire,0,0,OH,VND0008,0
TXN0000649,POL000649,CUST00649,2020-03-16,2024-05-15,5757,1818,Moderate,17,Fire,0,1,IL,VND0048,0
TXN0000650,POL000650,CUST00650,2022-08-16,2021-07-25,33380,1682,Minor,6,Fire,0,1,IL,VND0016,1
TXN0000651,POL000651,CUST00651,2019-09-27,2023-01-27,6255,2288,Moderate,19,Ambulance,0,1,NC,VND0012,0
TXN0000652,POL000652,CUST00652,2022-03-30,2022-07-14,3946,4937,Major,13,Ambulance,0,1,NY,VND0036,0
TXN0000653,POL000653,CUST00653,2019-08-02,2019-09-20,2390,1991,Major,4,None,0,0,GA,VND0039,0
TXN0000654,POL000654,CUST00654,2023-12-28,2020-10-06,599,1440,Moderate,20,Fire,1,1,WA,VND0008,0
TXN0000655,POL000655,CUST00655,2021-04-14,2020-10-31,321,1050,Minor,23,Fire,0,0,TX,VND0003,0
TXN0000656,POL000656,CUST00656,2020-05-26,2020-01-08,5241,1391,Moderate,12,Ambulance,0,0,TX,VND0043,0
TXN0000657,POL000657,CUST00657,2024-05-29,2023-04-28,2764,1099,Minor,19,Ambulance,1,0,FL,VND0026,0
TXN0000658,POL000658,CUST00658,2019-05-14,2024-05-08,5912,3081,Major,1,Fire,0,1,TX,VND0023,0
TXN0000659,POL000659,CUST00659,2023-05-25,2024-05-08,1767,2392,Major,6,Police,0,1,MI,VND0022,0
TXN0000660,POL000660,CUST00660,2021-10-20,2020-02-10,6458,2740,Major,3,Fire,0,1,MI,VND0030,0
TXN0000661,POL000661,CUST00661,2022-10-12,2021-07-05,6602,4244,Severe,6,Police,0,1,OH,VND0034,0
TXN0000662,POL000662,CUST00662,2020-06-06,2020-04-26,892,3111,Moderate,9,Police,1,1,TX,VND0005,0
TXN0000663,POL000663,CUST00663,2023-11-04,2019-05-20,4599,1198,Severe,10,None,0,1,MI,VND0014,0
TXN0000664,POL000664,CUST00664,2021-06-24,2022-06-10,19548,2195,Moderate,7,None,0,1,WA,VND0048,1
TXN0000665,POL000665,CUST00665,2021-04-20,2023-10-07,2397,1906,Minor,13,Police,0,0,IL,VND0009,0
TXN0000666,POL000666,CUST00666,2021-07-04,2019-06-19,659,4220,Major,5,Fire,0,0,GA,VND0046,0
TXN0000667,POL000667,CUST00667,2020-08-17,2022-07-26,6153,1881,Major,8,Fire,1,1,GA,VND0021,0
TXN0000668,POL000668,CUST00668,2020-10-01,2019-03-24,3423,1123,Severe,20,None,0,1,OH,VND0010,0
TXN0000669,POL000669,CUST00669,2019-10-09,2023-09-03,384,3812,Minor,13,Fire,1,0,NY,VND0030,0
TXN0000670,POL000670,CUST00670,2021-09-03,2019-05-23,5913,2427,Moderate,0,Fire,0,1,FL,VND0034,0
TXN0000671,POL000671,CUST00671,2021-08-10,2021-06-07,15868,931,Major,7,Ambulance,0,0,FL,VND0018,1
TXN0000672,POL000672,CUST00672,2021-02-01,2019-09-19,678,3603,Minor,19,Fire,0,0,NY,VND0040,0
TXN0000673,POL000673,CUST00673,2024-06-01,2021-04-21,1958,1447,Moderate,4,Police,1,0,NC,VND0004,0
TXN0000674,POL000674,CUST00674,2019-08-15,2021-05-25,323,4407,Moderate,22,Fire,0,0,MI,VND0007,0
TXN0000675,POL000675,CUST00675,2024-01-01,2022-01-03,6693,4246,Minor,7,Police,1,0,TX,VND0032,0
TXN0000676,POL000676,CUST00676,2023-10-06,2023-08-07,369,2163,Minor,15,Ambulance,0,1,CA,VND0029,0
TXN0000677,POL000677,CUST00677,2019-02-14,2024-07-07,5611,3000,Major,11,None,0,1,IL,VND0035,0
TXN0000678,POL000678,CUST00678,2022-11-08,2020-12-01,3676,3054,Minor,15,None,0,0,NC,VND0043,0
TXN0000679,POL000679,CUST00679,2020-02-24,2024-02-11,45912,3440,Major,19,Fire,0,0,OH,VND0047,1
TXN0000680,POL000680,CUST00680,2019-03-24,2021-05-22,5718,811,Major,3,Fire,0,1,MI,VND0026,0
TXN0000681,POL000681,CUST00681,2023-09-25,2019-09-09,15882,1961,Moderate,8,Police,0,0,NC,VND0026,1
TXN0000682,POL000682,CUST00682,2019-08-21,2022-05-04,1066,1266,Moderate,13,Fire,1,1,NC,VND0047,0
TXN0000683,POL000683,CUST00683,2020-08-22,2023-01-05,39154,3638,Minor,6,Police,0,1,OH,VND0049,1
TXN0000684,POL000684,CUST00684,2019-07-13,2020-09-12,1047,811,Major,9,Ambulance,0,1,CA,VND0003,0
TXN0000685,POL000685,CUST00685,2019-10-12,2022-04-13,4841,2826,Minor,21,None,0,0,TX,VND0026,0
TXN0000686,POL000686,CUST00686,2019-05-04,2021-06-01,4066,3775,Minor,5,Police,0,1,NC,VND0046,0
TXN0000687,POL000687,CUST00687,2023-08-18,2019-11-02,770,4767,Severe,4,Ambulance,0,1,NY,VND0003,0
TXN0000688,POL000688,CUST00688,2019-04-29,2021-02-28,1793,1796,Moderate,13,Ambulance,0,1,NC,VND0049,0
TXN0000689,POL000689,CUST00689,2023-03-04,2021-05-22,3853,535,Minor,2,Fire,0,1,NY,VND0038,0
TXN0000690,POL000690,CUST00690,2019-11-12,2020-12-01,5165,3756,Severe,0,Ambulance,0,1,CA,VND0008,0
TXN0000691,POL000691,CUST00691,2024-01-11,2024-01-26,2535,506,Minor,20,Ambulance,0,0,GA,VND0033,0
TXN0000692,POL000692,CUST00692,2023-08-29,2021-03-04,6657,798,Minor,6,Fire,1,1,MI,VND0022,0
TXN0000693,POL000693,CUST00693,2022-06-17,2022-06-25,6947,4957,Moderate,2,None,1,1,IL,VND0017,0
TXN0000694,POL000694,CUST00694,2023-07-21,2019-02-06,5409,4381,Major,15,Ambulance,0,1,TX,VND0032,0
TXN0000695,POL000695,CUST00695,2020-08-21,2020-10-05,3288,3683,Major,11,Fire,1,1,IL,VND0037,0
TXN0000696,POL000696,CUST00696,2023-04-21,2023-11-29,6164,4259,Major,10,Ambulance,0,1,WA,VND0045,0
TXN0000697,POL000697,CUST00697,2020-03-20,2023-12-12,5149,839,Severe,10,Ambulance,0,0,NY,VND0021,0
TXN0000698,POL000698,CUST00698,2022-05-18,2024-05-30,3733,900,Minor,3,Police,0,0,CA,VND0008,0
TXN0000699,POL000699,CUST00699,2024-01-20,2019-05-09,3217,1853,Moderate,20,Police,0,1,NC,VND0044,0
TXN0000700,POL000700,CUST00700,2022-12-23,2023-10-12,5859,606,Minor,0,Fire,0,0,FL,VND0017,0
TXN0000701,POL000701,CUST00701,2020-06-25,2020-07-05,3988,4497,Severe,11,Police,0,0,CA,VND0038,0
TXN0000702,POL000702,CUST00702,2023-01-22,2019-01-26,1443,753,Severe,6,Fire,0,1,GA,VND0040,0
TXN0000703,POL000703,CUST00703,2023-11-08,2019-07-19,6998,2948,Moderate,15,Fire,0,1,NY,VND0003,0
TXN0000704,POL000704,CUST00704,2023-11-20,2023-03-02,664,4341,Major,13,None,0,1,TX,VND0021,0
TXN0000705,POL000705,CUST00705,2023-01-23,2022-04-17,4926,3807,Moderate,9,Police,0,0,CA,VND0005,0
TXN0000706,POL000706,CUST00706,2023-01-09,2022-03-10,4660,1556,Minor,12,Ambulance,0,0,TX,VND0031,0
TXN0000707,POL000707,CUST00707,2023-04-25,2023-11-21,4185,2616,Moderate,5,Ambulance,1,1,TX,VND0040,0
TXN0000708,POL000708,CUST00708,2023-01-18,2019-07-23,553,2967,Severe,3,Fire,1,1,CA,VND0029,0
TXN0000709,POL000709,CUST00709,2019-09-26,2019-06-30,3549,3955,Moderate,21,None,0,0,NY,VND0017,0
